NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
3r Petroleum,12091809000155,dbreakwell2d@unesco.org,286-44-7158,9569520,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
3r Petroleum,12091809000155,dbreakwell2d@unesco.org,286-44-7158,9569521,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
3r Petroleum,12091809000155,dbreakwell2d@unesco.org,286-44-7158,9569520,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Abc Brasil,28195667000106,ablazewicz2q@drupal.org,329-18-0427,8460042,2023-07-01,180000,9000,189000,Escalade ESV,1,,12605150,133,,fornecedor,2023-11-13
Bogisich O'Keefe and Feil,82643537000134,bogissfh.ss@ss.com,742-63-3038,8934386,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-11-13
Bosco Parker and Heller,12528708000107,wglendinningk@europa.eu,835-83-3066,6402186,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-13
Botsford Group,16516516151685,dbreakwell2d@unesco.org,286-44-7158,8056778,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Bosco Parker and Heller,19472400011322,wglendinningk@europa.eu,835-83-3066,2056553,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-13
Csu Digital,189677900013,dbreakwell2d@unesco.org,286-44-7158,2933657,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Ctc S.A.,698138100011,azanussii1m@vimeo.com,691-01-7572,5804444,2023-07-01,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-11-13
Cury S/A,8797760000183,myelden1u@usatoday.com,763-57-5758,3301351,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-11-13
Cvc Brasil,10760260000119,carrol.1234@fds.com,632-63-6534,9779142,2023-07-01,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-11-13
Cyrela Realt,73178600000118,twillman2g@howstuffworks.com,612-34-0166,3299503,2023-07-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-11-13
D1000vfarma,,ahancock25@wsj.com,214-28-9058,5867468,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-11-13
,61486650000183,oschroeder2k@ocn.ne.jp,27-997826109,6125610,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-11-13
Desktopsigma,8170849000115,ablazewicz2q@drupal.org,329-18-0427,7079969,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-11-13
Dexco,97837181000147,,742-63-3038,6424901,,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-11-13
Dexxos Par,2193750000152,wglendinningk@europa.eu,,,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-13
Dimed,92665611000177,dbreakwell2d@unesco.org,286-44-7158,8736964,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
